DATE,GDPNOW
2011-07-01,3.2445
2011-10-01,5.1684
2012-01-01,3.0151
2012-04-01,0.2243
2012-07-01,1.849
2012-10-01,0.0776
2013-01-01,2.8718
2013-04-01,1.3
2013-07-01,2.3233
2013-10-01,3.1249
2014-01-01,0.3489
2014-04-01,2.6666
2014-07-01,2.6999
2014-10-01,3.4918
2015-01-01,0.0988
2015-04-01,2.4328
2015-07-01,1.0637
2015-10-01,1.0179
2016-01-01,0.6209
2016-04-01,1.8333
2016-07-01,2.0953
2016-10-01,2.8814
2017-01-01,0.1699
2017-04-01,2.8194
2017-07-01,2.7182
2017-10-01,3.406
2018-01-01,1.9834
2018-04-01,3.8225
2018-07-01,3.5537
2018-10-01,1.8466
2019-01-01,1.2257
